Chromosome Name	Strand	Ensembl Transcript ID	Ensembl Transcript ID	Transcript Start (bp)	Transcript End (bp)
6	1	ENST00000402622	ENST00000402622	73388744	73961858
6	1	ENST00000355194	ENST00000355194	73770347	73961858
10	1	ENST00000340087	ENST00000340087	120779262	120780977
10	-1	ENST00000369151	ENST00000369151	120430484	120504748
10	-1	ENST00000369156	ENST00000369156	120430484	120504550
10	-1	ENST00000340214	ENST00000340214	120443226	120504748
3	-1	ENST00000295911	ENST00000295911	152126640	152144713
3	-1	ENST00000327047	ENST00000327047	152127044	152173476
3	-1	ENST00000328863	ENST00000328863	152128658	152144713
11	1	ENST00000389724	ENST00000389724	89011995	89071531
11	1	ENST00000257034	ENST00000257034	89032113	89071531
7	-1	ENST00000330387	ENST00000330387	137210265	137337386
7	-1	ENST00000378408	ENST00000378408	137251121	137337328
3	-1	ENST00000397891	ENST00000397891	152071522	152094779
17	1	ENST00000251241	ENST00000251241	54997668	55040484
10	-1	ENST00000239032	ENST00000239032	120342906	120345150
10	-1	ENST00000369169	ENST00000369169	120342951	120344746
17	1	ENST00000312655	ENST00000312655	54763835	54833877
7	-1	ENST00000397603	ENST00000397603	137002965	137003255
19	-1	ENST00000263280	ENST00000263280	51914610	51941560
19	-1	ENST00000391910	ENST00000391910	51914610	51941560
12	1	ENST00000409778	ENST00000409778	109424512	109454274
12	1	ENST00000409300	ENST00000409300	109424479	109454272
12	1	ENST00000409461	ENST00000409461	109424516	109430329
12	1	ENST00000392672	ENST00000392672	109424512	109454272
12	1	ENST00000337320	ENST00000337320	109424535	109454272
12	1	ENST00000409246	ENST00000409246	109424388	109454272
12	1	ENST00000409425	ENST00000409425	109424479	109454274
12	1	ENST00000358071	ENST00000358071	109424483	109454272
1	1	ENST00000369686	ENST00000369686	112811683	112865431
1	1	ENST00000369684	ENST00000369684	112852893	112865431
1	1	ENST00000256640	ENST00000256640	112810686	112865428
2	1	ENST00000264158	ENST00000264158	135526323	135644014
2	1	ENST00000375836	ENST00000375836	135638688	135644048
3	-1	ENST00000312960	ENST00000312960	151941611	151963953
17	1	ENST00000376124	ENST00000376124	54652616	54707341
17	1	ENST00000284116	ENST00000284116	54652616	54706655
1	1	ENST00000271277	ENST00000271277	112740383	112803737
17	1	ENST00000300917	ENST00000300917	54642153	54647390
12	-1	ENST00000397678	ENST00000397678	109413713	109424299
12	-1	ENST00000360579	ENST00000360579	109413714	109421734
3	-1	ENST00000313811	ENST00000313811	151860367	151904375
3	-1	ENST00000295910	ENST00000295910	151860367	151904432
7	-1	ENST00000288490	ENST00000288490	136724925	137182149
X	-1	ENST00000393562	ENST00000393562	153412800	153428427
X	-1	ENST00000291567	ENST00000291567	153412800	153428242
X	-1	ENST00000393564	ENST00000393564	153412800	153428981
X	-1	ENST00000369620	ENST00000369620	153413409	153428981
10	1	ENST00000360758	ENST00000360758	119796506	119957322
19	-1	ENST00000291281	ENST00000291281	51869414	51912224
10	-1	ENST00000369172	ENST00000369172	119841723	120091808
10	-1	ENST00000369183	ENST00000369183	120058562	120091808
10	-1	ENST00000369171	ENST00000369171	120060248	120091822
10	-1	ENST00000369170	ENST00000369170	120071219	120091822
19	-1	ENST00000391916	ENST00000391916	51842712	51856161
19	-1	ENST00000300875	ENST00000300875	51842712	51849754
19	-1	ENST00000410105	ENST00000410105	51845249	51856235
12	1	ENST00000377673	ENST00000377673	109390621	109412553
17	1	ENST00000262293	ENST00000262293	54587883	54634706
1	-1	ENST00000302127	ENST00000302127	112119954	112333300
1	-1	ENST00000369697	ENST00000369697	112114807	112326941
1	-1	ENST00000315987	ENST00000315987	112119954	112333300
7	1	ENST00000403249	ENST00000403249	148381986	148382198
2	-1	ENST00000375845	ENST00000375845	135438743	135498718
2	-1	ENST00000358371	ENST00000358371	135438743	135498718
2	-1	ENST00000375844	ENST00000375844	135438743	135498718
2	-1	ENST00000392918	ENST00000392918	135438850	135498718
2	-1	ENST00000392917	ENST00000392917	135438862	135498718
2	-1	ENST00000315513	ENST00000315513	135454756	135497689
2	-1	ENST00000392915	ENST00000392915	135454754	135497689
11	-1	ENST00000375979	ENST00000375979	88699163	88864301
11	-1	ENST00000343727	ENST00000343727	88699163	88864301
11	-1	ENST00000263317	ENST00000263317	88699163	88864301
11	-1	ENST00000393282	ENST00000393282	88861798	88864062
8	-1	ENST00000379008	ENST00000379008	86760951	86761907
8	-1	ENST00000379009	ENST00000379009	86754114	86755070
9	1	ENST00000388339	ENST00000388339	74331972	74332075
10	-1	ENST00000369199	ENST00000369199	119754419	119796104
10	-1	ENST00000355624	ENST00000355624	119754419	119796104
19	-1	ENST00000300873	ENST00000300873	51829173	51829782
9	1	ENST00000371929	ENST00000371929	135276941	135314328
9	1	ENST00000355699	ENST00000355699	135276941	135314328
9	1	ENST00000356589	ENST00000356589	135276941	135314328
9	1	ENST00000371916	ENST00000371916	135276941	135314328
9	1	ENST00000371911	ENST00000371911	135276941	135284851
9	1	ENST00000338351	ENST00000338351	135276941	135314328
9	1	ENST00000371910	ENST00000371910	135310591	135314329
3	1	ENST00000397894	ENST00000397894	151803840	151827611
3	1	ENST00000361622	ENST00000361622	151803813	151828855
4	-1	ENST00000386359	ENST00000386359	65159622	65159685
4	-1	ENST00000387988	ENST00000387988	65159223	65159288
7	-1	ENST00000393083	ENST00000393083	136562637	136679086
7	-1	ENST00000348225	ENST00000348225	136562637	136679086
19	-1	ENST00000291294	ENST00000291294	51815566	51820194
12	-1	ENST00000228827	ENST00000228827	109374675	109390447
17	-1	ENST00000330137	ENST00000330137	54542090	54587582
4	-1	ENST00000387982	ENST00000387982	65155949	65156011
4	1	ENST00000387954	ENST00000387954	65155879	65155946
X	-1	ENST00000359889	ENST00000359889	153387700	153397718
X	-1	ENST00000369641	ENST00000369641	153387700	153397718
X	-1	ENST00000369643	ENST00000369643	153387696	153397634
X	-1	ENST00000322269	ENST00000322269	153387696	153397757
X	-1	ENST00000393572	ENST00000393572	153388165	153397678
X	-1	ENST00000356180	ENST00000356180	153393844	153397718
11	1	ENST00000263321	ENST00000263321	88550688	88668574
11	1	ENST00000393291	ENST00000393291	88550688	88564850
10	1	ENST00000369201	ENST00000369201	119291946	119299043
1	1	ENST00000369702	ENST00000369702	112099777	112111722
12	-1	ENST00000392683	ENST00000392683	109357090	109376185
12	-1	ENST00000228825	ENST00000228825	109357098	109372505
1	-1	ENST00000357260	ENST00000357260	112069893	112083545
2	1	ENST00000264157	ENST00000264157	135392863	135431056
2	1	ENST00000295238	ENST00000295238	135392863	135431056
9	-1	ENST00000371942	ENST00000371942	135261009	135272985
9	-1	ENST00000371935	ENST00000371935	135261009	135272896
3	1	ENST00000406576	ENST00000406576	151747209	151784388
3	1	ENST00000273435	ENST00000273435	151747264	151786492
3	1	ENST00000383043	ENST00000383043	151768389	151784717
6	1	ENST00000346609	ENST00000346609	72653371	73169229
6	1	ENST00000349908	ENST00000349908	72653371	73169229
6	1	ENST00000352008	ENST00000352008	72653371	73169229
6	1	ENST00000348717	ENST00000348717	72653371	73169229
6	1	ENST00000350827	ENST00000350827	72653371	73169229
6	1	ENST00000370420	ENST00000370420	72653371	73169229
6	1	ENST00000264839	ENST00000264839	72653371	73169229
6	1	ENST00000370419	ENST00000370419	72653127	73030424
6	1	ENST00000401910	ENST00000401910	72653371	73169229
10	-1	ENST00000334464	ENST00000334464	119032598	119124927
12	-1	ENST00000386904	ENST00000386904	26616899	26616966
12	1	ENST00000386900	ENST00000386900	26616819	26616887
12	1	ENST00000386897	ENST00000386897	26616745	26616817
5	1	ENST00000396179	ENST00000396179	77116467	77117595
3	1	ENST00000396019	ENST00000396019	44889863	44890354
19	1	ENST00000291295	ENST00000291295	51796352	51805878
19	1	ENST00000391918	ENST00000391918	51797234	51804384
17	-1	ENST00000393066	ENST00000393066	54414793	54536641
17	-1	ENST00000262294	ENST00000262294	54430351	54539011
17	-1	ENST00000393065	ENST00000393065	54430351	54536641
17	-1	ENST00000376149	ENST00000376149	54430351	54539011
6	-1	ENST00000370429	ENST00000370429	72141263	72148366
2	1	ENST00000356140	ENST00000356140	135312650	135376070
2	1	ENST00000392929	ENST00000392929	135312587	135376074
2	1	ENST00000283054	ENST00000283054	135312656	135376070
2	1	ENST00000392928	ENST00000392928	135312658	135376074
10	1	ENST00000298472	ENST00000298472	118990706	119027085
19	1	ENST00000377652	ENST00000377652	51689681	51690853
X	-1	ENST00000393586	ENST00000393586	153368844	153372161
X	-1	ENST00000369649	ENST00000369649	153368846	153372147
X	-1	ENST00000263512	ENST00000263512	153368842	153372189
X	-1	ENST00000393587	ENST00000393587	153368876	153372196
3	-1	ENST00000239944	ENST00000239944	151742471	151747118
10	1	ENST00000334549	ENST00000334549	118946990	118959800
19	-1	ENST00000377655	ENST00000377655	51686293	51690562
11	-1	ENST00000305432	ENST00000305432	87881006	88420838
11	-1	ENST00000305447	ENST00000305447	87881006	88420838
11	-1	ENST00000393297	ENST00000393297	87881408	88420688
11	-1	ENST00000393294	ENST00000393294	88357518	88438761
12	-1	ENST00000354390	ENST00000354390	109295667	109325868
10	1	ENST00000369204	ENST00000369204	118924599	118926895
4	1	ENST00000314406	ENST00000314406	63365139	63367107
17	1	ENST00000308249	ENST00000308249	54188231	54417314
6	1	ENST00000370435	ENST00000370435	72055239	72068985
10	-1	ENST00000277905	ENST00000277905	118878022	118887802
10	-1	ENST00000369206	ENST00000369206	118883509	118887802
9	1	ENST00000371957	ENST00000371957	135233105	135261041
9	1	ENST00000371955	ENST00000371955	135233105	135261041
X	-1	ENST00000369653	ENST00000369653	153366863	153368136
X	-1	ENST00000369660	ENST00000369660	153365254	153368136
19	-1	ENST00000313683	ENST00000313683	51661590	51666660
X	-1	ENST00000357360	ENST00000357360	153358435	153360790
X	-1	ENST00000407062	ENST00000407062	153359222	153360462
3	1	ENST00000361136	ENST00000361136	151608812	151660303
3	1	ENST00000361875	ENST00000361875	151608812	151660303
2	-1	ENST00000281924	ENST00000281924	134930031	135193040
2	-1	ENST00000392930	ENST00000392930	134930031	135187650
19	-1	ENST00000307522	ENST00000307522	51606291	51607907
1	1	ENST00000369709	ENST00000369709	111963928	112057624
1	1	ENST00000356415	ENST00000356415	111886363	112057258
8	1	ENST00000329349	ENST00000329349	86023628	86023931
19	1	ENST00000012443	ENST00000012443	51542134	51585943
19	1	ENST00000391919	ENST00000391919	51542205	51585949
2	1	ENST00000281923	ENST00000281923	134728300	134922938
2	1	ENST00000409645	ENST00000409645	134594223	134928662
17	1	ENST00000337432	ENST00000337432	54124962	54166689
9	1	ENST00000371964	ENST00000371964	135213249	135217853
6	-1	ENST00000230053	ENST00000230053	71623637	71723462
3	-1	ENST00000239940	ENST00000239940	151165384	151171431
10	-1	ENST00000392903	ENST00000392903	118633732	118754866
10	-1	ENST00000355371	ENST00000355371	118605750	118754686
10	-1	ENST00000260777	ENST00000260777	118634298	118754866
10	-1	ENST00000392901	ENST00000392901	118657401	118754866
12	1	ENST00000308664	ENST00000308664	109203815	109272493
12	1	ENST00000377685	ENST00000377685	109203815	109268850
12	1	ENST00000313432	ENST00000313432	109203815	109269504
X	1	ENST00000369682	ENST00000369682	153339817	153355178
7	1	ENST00000401861	ENST00000401861	136204409	136352311
7	1	ENST00000402486	ENST00000402486	136204372	136352311
7	1	ENST00000320658	ENST00000320658	136204372	136352311
7	1	ENST00000406605	ENST00000406605	136203939	136352311
7	1	ENST00000402594	ENST00000402594	136203939	136352311
9	-1	ENST00000371974	ENST00000371974	135208487	135213182
11	-1	ENST00000227266	ENST00000227266	87666421	87710586
11	-1	ENST00000393302	ENST00000393302	87695542	87710586
11	-1	ENST00000320621	ENST00000320621	87699193	87710552
11	-1	ENST00000393301	ENST00000393301	87699249	87710552
10	1	ENST00000341276	ENST00000341276	118599013	118632007
10	1	ENST00000409522	ENST00000409522	118599013	118632028
10	1	ENST00000369207	ENST00000369207	118608535	118661287
1	-1	ENST00000369717	ENST00000369717	111827495	111908120
1	-1	ENST00000355437	ENST00000355437	111827495	111908120
1	-1	ENST00000369716	ENST00000369716	111827495	111848266
1	-1	ENST00000369714	ENST00000369714	111827495	111833805
1	-1	ENST00000335940	ENST00000335940	111827495	111833808
1	-1	ENST00000241356	ENST00000241356	111843576	111848266
7	1	ENST00000397608	ENST00000397608	136204372	136207250
2	-1	ENST00000409261	ENST00000409261	133145844	134042501
2	-1	ENST00000409213	ENST00000409213	133147092	134042504
2	-1	ENST00000405974	ENST00000405974	133188921	133991567
2	-1	ENST00000317721	ENST00000317721	133198454	133777232
2	-1	ENST00000407235	ENST00000407235	133428685	133991567
2	-1	ENST00000358991	ENST00000358991	133428685	134042501
11	-1	ENST00000243662	ENST00000243662	87486064	87548249
9	-1	ENST00000371991	ENST00000371991	135206666	135232791
9	-1	ENST00000371987	ENST00000371987	135218146	135232791
9	-1	ENST00000371989	ENST00000371989	135218162	135232791
9	-1	ENST00000371982	ENST00000371982	135220492	135232735
6	1	ENST00000316999	ENST00000316999	71434200	71628435
6	1	ENST00000370455	ENST00000370455	71434200	71628435
6	1	ENST00000370452	ENST00000370452	71434200	71628435
6	1	ENST00000370442	ENST00000370442	71434200	71604293
10	-1	ENST00000369209	ENST00000369209	118420694	118492075
7	-1	ENST00000356707	ENST00000356707	135262051	135312647
7	-1	ENST00000393085	ENST00000393085	135262049	135312604
1	1	ENST00000343534	ENST00000343534	111818127	111822654
1	1	ENST00000369718	ENST00000369718	111818014	111822617
3	1	ENST00000392894	ENST00000392894	151013165	151162616
3	1	ENST00000344229	ENST00000344229	151013165	151162616
3	1	ENST00000361785	ENST00000361785	151013705	151161836
7	-1	ENST00000338588	ENST00000338588	135064895	135083987
6	1	ENST00000370474	ENST00000370474	71333341	71355987
10	-1	ENST00000388884	ENST00000388884	118413422	118419471
10	-1	ENST00000369210	ENST00000369210	118413198	118419471
19	-1	ENST00000318002	ENST00000318002	9232730	9233200
2	-1	ENST00000345008	ENST00000345008	133118808	133144250
2	-1	ENST00000397463	ENST00000397463	133118807	133144951
2	-1	ENST00000409034	ENST00000409034	133119830	133145622
11	1	ENST00000340353	ENST00000340353	86426548	86712215
11	1	ENST00000305494	ENST00000305494	86426548	86712215
11	1	ENST00000355734	ENST00000355734	86426713	86567233
17	-1	ENST00000240361	ENST00000240361	53989041	54124415
17	-1	ENST00000389934	ENST00000389934	53989041	54124415
17	-1	ENST00000349033	ENST00000349033	53989041	54124415
7	-1	ENST00000390149	ENST00000390149	77505801	77505892
11	-1	ENST00000309186	ENST00000309186	86334370	86344081
3	-1	ENST00000383050	ENST00000383050	150968444	150992843
X	1	ENST00000393600	ENST00000393600	153325698	153332190
X	1	ENST00000158526	ENST00000158526	153325713	153332195
1	1	ENST00000369722	ENST00000369722	111793266	111806044
1	1	ENST00000369721	ENST00000369721	111793641	111805472
11	1	ENST00000280258	ENST00000280258	86189139	86199923
2	1	ENST00000329321	ENST00000329321	132890617	133120602
12	1	ENST00000242591	ENST00000242591	109046565	109140973
12	1	ENST00000361948	ENST00000361948	109046687	109091368
17	-1	ENST00000321691	ENST00000321691	53973947	53976682
7	-1	ENST00000354042	ENST00000354042	135016579	135063474
7	-1	ENST00000378428	ENST00000378428	135016579	135063474
12	-1	ENST00000377158	ENST00000377158	108973170	108995806
10	1	ENST00000298771	ENST00000298771	118370455	118394644
12	1	ENST00000386884	ENST00000386884	25485093	25485170
19	1	ENST00000377670	ENST00000377670	51492145	51538530
19	1	ENST00000244302	ENST00000244302	51492143	51526610
19	1	ENST00000300862	ENST00000300862	51498716	51538530
19	1	ENST00000244303	ENST00000244303	51492145	51507579
19	1	ENST00000339613	ENST00000339613	51493499	51538530
19	1	ENST00000291300	ENST00000291300	51493523	51526610
3	-1	ENST00000232863	ENST00000232863	150941222	150952968
2	1	ENST00000357025	ENST00000357025	132577907	132578161
19	1	ENST00000341204	ENST00000341204	51424849	51425793
12	-1	ENST00000309050	ENST00000309050	108963366	108989883
12	-1	ENST00000407764	ENST00000407764	108963367	108988062
2	-1	ENST00000295181	ENST00000295181	132621954	132635998
2	-1	ENST00000409867	ENST00000409867	132621950	132635998
9	-1	ENST00000388335	ENST00000388335	74104487	74104571
6	1	ENST00000370479	ENST00000370479	71179828	71327596
6	1	ENST00000361499	ENST00000361499	71179910	71327595
6	1	ENST00000194672	ENST00000194672	71179828	71290586
6	1	ENST00000393299	ENST00000393299	71252248	71291023
10	1	ENST00000358834	ENST00000358834	118340480	118358676
10	1	ENST00000369211	ENST00000369211	118340480	118343844
7	1	ENST00000387662	ENST00000387662	29918669	29918773
19	-1	ENST00000341415	ENST00000341415	51315168	51319771
2	-1	ENST00000303798	ENST00000303798	132269004	132275704
X	1	ENST00000369741	ENST00000369741	153318705	153325006
17	-1	ENST00000317256	ENST00000317256	53952615	53964410
17	-1	ENST00000317268	ENST00000317268	53952615	53961662
17	-1	ENST00000393086	ENST00000393086	53952615	53959504
11	-1	ENST00000393324	ENST00000393324	85829798	86060888
11	-1	ENST00000359636	ENST00000359636	85829798	86061075
11	-1	ENST00000323418	ENST00000323418	85852772	86060888
19	1	ENST00000377693	ENST00000377693	51274062	51356385
1	-1	ENST00000235090	ENST00000235090	111784036	111793353
3	-1	ENST00000360632	ENST00000360632	150720723	150858472
3	-1	ENST00000392897	ENST00000392897	150717713	150857783
19	-1	ENST00000391925	ENST00000391925	51234846	51238037
19	-1	ENST00000377697	ENST00000377697	51234846	51236114
2	1	ENST00000355171	ENST00000355171	132196534	132241449
2	1	ENST00000409278	ENST00000409278	132196418	132241447
7	1	ENST00000402403	ENST00000402403	143309306	143309437
19	-1	ENST00000008938	ENST00000008938	51214255	51218144
17	-1	ENST00000323456	ENST00000323456	53921897	53950211
10	1	ENST00000369221	ENST00000369221	118295418	118317356
12	1	ENST00000261739	ENST00000261739	108921618	108961614
12	1	ENST00000261738	ENST00000261738	108921618	108961614
12	1	ENST00000334689	ENST00000334689	108921618	108943347
7	1	ENST00000285968	ENST00000285968	134893228	134984029
11	1	ENST00000354755	ENST00000354755	85763426	85811798
11	1	ENST00000278487	ENST00000278487	85763426	85811798
3	1	ENST00000305354	ENST00000305354	150674451	150716260
15	-1	ENST00000299589	ENST00000299589	54085203	54086651
2	1	ENST00000397487	ENST00000397487	132065738	132100217
2	1	ENST00000329081	ENST00000329081	132100158	132101558
10	1	ENST00000369230	ENST00000369230	118177369	118227456
19	1	ENST00000263284	ENST00000263284	51190179	51213714
15	-1	ENST00000388246	ENST00000388246	54035202	54035294
19	-1	ENST00000263257	ENST00000263257	51134631	51168497
X	1	ENST00000369762	ENST00000369762	153310172	153318056
X	1	ENST00000369759	ENST00000369759	153310217	153318055
17	-1	ENST00000323777	ENST00000323777	53852528	53920758
14	-1	ENST00000323718	ENST00000323718	72466073	72466391
9	1	ENST00000323345	ENST00000323345	135204890	135208101
9	1	ENST00000277425	ENST00000277425	135205410	135208101
9	1	ENST00000315731	ENST00000315731	135205598	135208102
19	-1	ENST00000322217	ENST00000322217	51085125	51097702
3	-1	ENST00000383054	ENST00000383054	150570252	150578258
3	-1	ENST00000305366	ENST00000305366	150569495	150578258
11	1	ENST00000278483	ENST00000278483	85690936	85734632
10	1	ENST00000333254	ENST00000333254	118073930	118129530
19	-1	ENST00000341294	ENST00000341294	51109375	51109791
19	-1	ENST00000302165	ENST00000302165	51079118	51080872
2	1	ENST00000295171	ENST00000295171	132001940	132007707
2	1	ENST00000409856	ENST00000409856	132001923	132007709
3	-1	ENST00000296059	ENST00000296059	150519452	150534160
17	-1	ENST00000407977	ENST00000407977	53784860	53849479
17	-1	ENST00000376226	ENST00000376226	53786041	53849893
1	-1	ENST00000369732	ENST00000369732	111758461	111771922
1	-1	ENST00000369728	ENST00000369728	111758461	111770967
6	-1	ENST00000357250	ENST00000357250	70982529	71069494
6	-1	ENST00000370499	ENST00000370499	70982529	71069494
6	-1	ENST00000320755	ENST00000320755	70982529	71049632
6	-1	ENST00000370496	ENST00000370496	71046186	71069494
7	-1	ENST00000262563	ENST00000262563	134697975	134845364
7	-1	ENST00000361528	ENST00000361528	134697090	134845391
7	-1	ENST00000356162	ENST00000356162	134719967	134845364
7	-1	ENST00000315544	ENST00000315544	134721463	134845364
2	1	ENST00000356430	ENST00000356430	131967133	131995615
9	-1	ENST00000343730	ENST00000343730	135197577	135204793
9	-1	ENST00000344469	ENST00000344469	135197577	135204775
9	-1	ENST00000371999	ENST00000371999	135200423	135204793
17	-1	ENST00000225504	ENST00000225504	53777538	53784562
19	1	ENST00000302177	ENST00000302177	51059358	51068894
1	1	ENST00000369738	ENST00000369738	111690771	111697156
1	1	ENST00000369737	ENST00000369737	111690771	111697156
10	-1	ENST00000355422	ENST00000355422	117812944	118022966
10	-1	ENST00000369234	ENST00000369234	117812944	118022966
10	-1	ENST00000369236	ENST00000369236	117812943	118021784
2	-1	ENST00000410036	ENST00000410036	131958003	131966775
2	-1	ENST00000309451	ENST00000309451	131958018	131966438
11	1	ENST00000263360	ENST00000263360	85633463	85667426
11	1	ENST00000351625	ENST00000351625	85633463	85667426
11	1	ENST00000327320	ENST00000327320	85633463	85667426
7	1	ENST00000275764	ENST00000275764	134567271	134593784
2	1	ENST00000321253	ENST00000321253	131950136	131956975
2	1	ENST00000341158	ENST00000341158	131950136	131956891
2	1	ENST00000409047	ENST00000409047	131950136	131956977
2	1	ENST00000410028	ENST00000410028	131950136	131956975
3	-1	ENST00000264613	ENST00000264613	150373220	150422519
12	-1	ENST00000355312	ENST00000355312	108851992	108918483
12	-1	ENST00000361006	ENST00000361006	108851992	108918483
12	-1	ENST00000360185	ENST00000360185	108851992	108918483
12	-1	ENST00000354574	ENST00000354574	108851992	108918483
12	-1	ENST00000338373	ENST00000338373	108851992	108918483
12	-1	ENST00000343646	ENST00000343646	108851992	108918483
12	-1	ENST00000356259	ENST00000356259	108851992	108918483
12	-1	ENST00000320063	ENST00000320063	108870254	108918483
9	-1	ENST00000372022	ENST00000372022	135187390	135192868
17	-1	ENST00000355701	ENST00000355701	53733597	53760477
17	-1	ENST00000343736	ENST00000343736	53733597	53760477
17	-1	ENST00000268893	ENST00000268893	53733597	53760477
19	-1	ENST00000245934	ENST00000245934	51010540	51058388
19	-1	ENST00000340643	ENST00000340643	51010540	51058388
2	1	ENST00000397485	ENST00000397485	131760861	131766589
11	-1	ENST00000349405	ENST00000349405	85346379	85457787
11	-1	ENST00000341783	ENST00000341783	85346379	85457787
11	-1	ENST00000393346	ENST00000393346	85358342	85457787
11	-1	ENST00000356360	ENST00000356360	85363147	85457787
11	-1	ENST00000393343	ENST00000393343	85363147	85457787
7	-1	ENST00000326099	ENST00000326099	134521443	134546811
7	-1	ENST00000354475	ENST00000354475	134520525	134546811
7	-1	ENST00000344400	ENST00000344400	134520525	134546811
12	1	ENST00000405876	ENST00000405876	108822481	108839247
12	1	ENST00000312777	ENST00000312777	108822706	108840251
10	1	ENST00000355044	ENST00000355044	116843114	117698486
10	1	ENST00000303745	ENST00000303745	116843636	117347296
19	-1	ENST00000221538	ENST00000221538	50990809	51010417
12	-1	ENST00000318348	ENST00000318348	108773134	108802676
3	1	ENST00000296051	ENST00000296051	150330061	150373995
7	-1	ENST00000393114	ENST00000393114	134501077	134505987
1	1	ENST00000353665	ENST00000353665	111635007	111664707
1	1	ENST00000343320	ENST00000343320	111654519	111664707
1	1	ENST00000369740	ENST00000369740	111635061	111664702
1	1	ENST00000352594	ENST00000352594	111654519	111664707
19	-1	ENST00000270223	ENST00000270223	50978104	50987900
19	-1	ENST00000377735	ENST00000377735	50978104	50987900
1	1	ENST00000369743	ENST00000369743	111624669	111630252
7	1	ENST00000275767	ENST00000275767	134483364	134501190
X	1	ENST00000369776	ENST00000369776	153293375	153303259
X	1	ENST00000369790	ENST00000369790	153293071	153303259
X	1	ENST00000350743	ENST00000350743	153293071	153303259
X	1	ENST00000369793	ENST00000369793	153293071	153303259
X	1	ENST00000351413	ENST00000351413	153293071	153303259
X	1	ENST00000299328	ENST00000299328	153293071	153303259
9	-1	ENST00000319878	ENST00000319878	135120384	135140451
2	1	ENST00000356920	ENST00000356920	131692394	131739435
2	1	ENST00000358087	ENST00000358087	131692394	131739435
17	-1	ENST00000340482	ENST00000340482	53702216	53713295
17	-1	ENST00000225275	ENST00000225275	53702216	53713295
17	-1	ENST00000393105	ENST00000393105	53702216	53706568
11	1	ENST00000342404	ENST00000342404	85243792	85308699
11	1	ENST00000280245	ENST00000280245	85243792	85308699
11	1	ENST00000376067	ENST00000376067	85243792	85308699
6	1	ENST00000322773	ENST00000322773	70633169	70978878
6	1	ENST00000393344	ENST00000393344	70826348	70976400
6	1	ENST00000393333	ENST00000393333	70633169	70966356
10	1	ENST00000298746	ENST00000298746	116687942	116727429
7	1	ENST00000275763	ENST00000275763	134321802	134451158
7	1	ENST00000359383	ENST00000359383	134321802	134345556
1	1	ENST00000369748	ENST00000369748	111571804	111587583
1	1	ENST00000369744	ENST00000369744	111571804	111587583
1	1	ENST00000393553	ENST00000393553	111573856	111587583
9	-1	ENST00000372031	ENST00000372031	135090119	135093850
12	-1	ENST00000261740	ENST00000261740	108705277	108755595
12	-1	ENST00000392719	ENST00000392719	108705277	108755595
12	-1	ENST00000346520	ENST00000346520	108705277	108755595
17	1	ENST00000262290	ENST00000262290	53670847	53700878
17	1	ENST00000389576	ENST00000389576	53684248	53700878
9	-1	ENST00000372034	ENST00000372034	135070488	135074451
9	-1	ENST00000372033	ENST00000372033	135070488	135074451
9	-1	ENST00000372032	ENST00000372032	135072430	135074407
3	-1	ENST00000392912	ENST00000392912	150230594	150287031
3	-1	ENST00000392913	ENST00000392913	150230594	150287031
3	-1	ENST00000310053	ENST00000310053	150230594	150287031
10	1	ENST00000369250	ENST00000369250	116571493	116649575
10	1	ENST00000392942	ENST00000392942	116571773	116618147
10	1	ENST00000369248	ENST00000369248	116571773	116614254
10	1	ENST00000369246	ENST00000369246	116571519	116583214
6	-1	ENST00000370577	ENST00000370577	70442472	70563609
6	-1	ENST00000370569	ENST00000370569	70442472	70563609
6	-1	ENST00000370570	ENST00000370570	70442419	70557278
12	1	ENST00000358906	ENST00000358906	108656955	108692682
X	-1	ENST00000369808	ENST00000369808	153282773	153290769
X	-1	ENST00000393638	ENST00000393638	153282773	153293621
X	-1	ENST00000309585	ENST00000309585	153282773	153293621
X	-1	ENST00000369809	ENST00000369809	153282773	153293621
X	-1	ENST00000014935	ENST00000014935	153283293	153291569
X	-1	ENST00000369807	ENST00000369807	153283293	153290806
1	-1	ENST00000369752	ENST00000369752	111531326	111548554
1	-1	ENST00000357640	ENST00000357640	111531326	111544804
3	1	ENST00000296048	ENST00000296048	150191929	150228081
3	1	ENST00000345003	ENST00000345003	150191929	150228081
3	1	ENST00000353986	ENST00000353986	150191929	150227410
17	-1	ENST00000337050	ENST00000337050	53637911	53651600
17	-1	ENST00000393120	ENST00000393120	53637801	53651665
17	-1	ENST00000393119	ENST00000393119	53637798	53651665
17	-1	ENST00000313863	ENST00000313863	53638439	53651600
2	1	ENST00000303908	ENST00000303908	131594985	131827569
2	1	ENST00000404460	ENST00000404460	131579396	131827752
2	1	ENST00000403716	ENST00000403716	131578890	131623894
2	1	ENST00000234115	ENST00000234115	131578890	131623894
2	1	ENST00000409158	ENST00000409158	131578890	131621840
2	1	ENST00000409612	ENST00000409612	131581599	131621840
2	1	ENST00000409279	ENST00000409279	131592934	131621840
11	-1	ENST00000316356	ENST00000316356	85082915	85146692
11	-1	ENST00000359152	ENST00000359152	85082915	85116719
11	-1	ENST00000389959	ENST00000389959	85082915	85115159
11	-1	ENST00000354566	ENST00000354566	85082915	85115159
11	-1	ENST00000389958	ENST00000389958	85082915	85107859
11	-1	ENST00000389956	ENST00000389956	85082915	85107859
11	-1	ENST00000389960	ENST00000389960	85082915	85115159
