Chromosome	Strand	Annotation ID	Segment ID	Start (bp)	End (bp)
2	1	ENSMUST00000067530	ENSMUSG00000054455	173561011	173563011
2	1	ENSMUST00000154306	ENSMUSG00000054455	173591700	173593700
2	-1	ENSMUST00000117491	ENSMUSG00000082543	173743852	173745852
2	-1	ENSMUST00000120437	ENSMUSG00000081700	173807982	173809982
2	-1	ENSMUST00000120334	ENSMUSG00000082519	173870119	173872119
2	1	ENSMUST00000155000	ENSMUSG00000027522	173899808	173901808
2	1	ENSMUST00000134876	ENSMUSG00000027522	173899818	173901818
2	1	ENSMUST00000147038	ENSMUSG00000027522	173899822	173901822
2	1	ENSMUST00000087908	ENSMUSG00000027522	173900422	173902422
2	1	ENSMUST00000044638	ENSMUSG00000027522	173900551	173902551
2	1	ENSMUST00000094281	ENSMUSG00000027522	173900551	173902551
2	1	ENSMUST00000156054	ENSMUSG00000027522	173900566	173902566
2	1	ENSMUST00000044415	ENSMUSG00000039263	173933849	173935849
2	1	ENSMUST00000125502	ENSMUSG00000039263	173934654	173936654
2	1	ENSMUST00000153957	ENSMUSG00000039263	173934680	173936680
2	1	ENSMUST00000136449	ENSMUSG00000039263	173935073	173937073
2	-1	ENSMUST00000131346	ENSMUSG00000074555	173948538	173950538
2	-1	ENSMUST00000166709	ENSMUSG00000074555	173949060	173951060
2	-1	ENSMUST00000083587	ENSMUSG00000065521	174090547	174092547
2	-1	ENSMUST00000083476	ENSMUSG00000065410	174091004	174093004
2	-1	ENSMUST00000151472	ENSMUSG00000086537	174104737	174106737
2	-1	ENSMUST00000150276	ENSMUSG00000086537	174105694	174107694
2	1	ENSMUST00000109096	ENSMUSG00000027523	174107820	174109820
2	1	ENSMUST00000109095	ENSMUSG00000027523	174107820	174109820
2	-1	ENSMUST00000143738	ENSMUSG00000086537	174107853	174109853
2	1	ENSMUST00000130940	ENSMUSG00000027523	174108756	174110756
2	1	ENSMUST00000130761	ENSMUSG00000027523	174108858	174110858
2	1	ENSMUST00000069396	ENSMUSG00000027523	174121359	174123359
2	1	ENSMUST00000087876	ENSMUSG00000027523	174121359	174123359
2	1	ENSMUST00000109088	ENSMUSG00000027523	174121359	174123359
2	1	ENSMUST00000154658	ENSMUSG00000027523	174121359	174123359
2	1	ENSMUST00000080493	ENSMUSG00000027523	174121359	174123359
2	1	ENSMUST00000087877	ENSMUSG00000027523	174121359	174123359
2	1	ENSMUST00000124935	ENSMUSG00000027523	174151070	174153070
2	1	ENSMUST00000156623	ENSMUSG00000027523	174151199	174153199
2	1	ENSMUST00000149016	ENSMUSG00000027523	174151230	174153230
2	1	ENSMUST00000133356	ENSMUSG00000027523	174151257	174153257
2	1	ENSMUST00000087871	ENSMUSG00000027523	174151268	174153268
2	1	ENSMUST00000148640	ENSMUSG00000027523	174151523	174153523
2	1	ENSMUST00000109085	ENSMUSG00000027523	174153506	174155506
2	1	ENSMUST00000109087	ENSMUSG00000027523	174153589	174155589
2	1	ENSMUST00000109084	ENSMUSG00000027523	174153597	174155597
2	1	ENSMUST00000109083	ENSMUSG00000027523	174153787	174155787
2	-1	ENSMUST00000168292	ENSMUSG00000090625	174153819	174155819
2	1	ENSMUST00000131125	ENSMUSG00000027523	174165204	174167204
2	1	ENSMUST00000129534	ENSMUSG00000027523	174168150	174170150
2	1	ENSMUST00000109075	ENSMUSG00000016253	174239304	174241304
2	1	ENSMUST00000016397	ENSMUSG00000016253	174239351	174241351
2	1	ENSMUST00000129716	ENSMUSG00000016253	174239380	174241380
2	1	ENSMUST00000143683	ENSMUSG00000016253	174246892	174248892
2	1	ENSMUST00000139390	ENSMUSG00000016253	174248180	174250180
2	1	ENSMUST00000137986	ENSMUSG00000016253	174249862	174251862
2	-1	ENSMUST00000016400	ENSMUSG00000016256	174250993	174252993
2	-1	ENSMUST00000166271	ENSMUSG00000016256	174251360	174253360
2	-1	ENSMUST00000117104	ENSMUSG00000082641	174264429	174266429
2	1	ENSMUST00000016399	ENSMUSG00000016255	174274195	174276195
2	-1	ENSMUST00000016396	ENSMUSG00000016252	174284572	174286572
2	-1	ENSMUST00000149191	ENSMUSG00000016252	174284575	174286575
2	-1	ENSMUST00000153132	ENSMUSG00000016252	174286016	174288016
2	-1	ENSMUST00000016401	ENSMUSG00000016257	174288567	174290567
2	-1	ENSMUST00000117442	ENSMUSG00000016257	174289085	174291085
2	-1	ENSMUST00000120822	ENSMUSG00000016257	174289194	174291194
2	-1	ENSMUST00000147944	ENSMUSG00000016257	174292672	174294672
2	-1	ENSMUST00000141100	ENSMUSG00000016257	174292881	174294881
2	-1	ENSMUST00000116315	ENSMUSG00000080158	174308201	174310201
2	1	ENSMUST00000118738	ENSMUSG00000082353	174414730	174416730
2	1	ENSMUST00000059452	ENSMUSG00000050600	174467034	174469034
2	1	ENSMUST00000162473	ENSMUSG00000027524	174593422	174595422
2	-1	ENSMUST00000156804	ENSMUSG00000084795	174659464	174661464
2	-1	ENSMUST00000128053	ENSMUSG00000084795	174659591	174661591
2	-1	ENSMUST00000144208	ENSMUSG00000084795	174661557	174663557
2	-1	ENSMUST00000149377	ENSMUSG00000087215	174665805	174667805
2	1	ENSMUST00000131690	ENSMUSG00000086177	174679789	174681789
2	1	ENSMUST00000109069	ENSMUSG00000078906	174833741	174835741
2	1	ENSMUST00000109070	ENSMUSG00000078906	174833819	174835819
2	-1	ENSMUST00000155376	ENSMUSG00000085608	174846854	174848854
2	1	ENSMUST00000117051	ENSMUSG00000082112	174861621	174863621
2	-1	ENSMUST00000072895	ENSMUSG00000078905	174885049	174887049
2	1	ENSMUST00000170338	ENSMUSG00000084050	174885933	174887933
2	1	ENSMUST00000122320	ENSMUSG00000084050	174885936	174887936
2	-1	ENSMUST00000109066	ENSMUSG00000078905	174886806	174888806
2	1	ENSMUST00000166026	ENSMUSG00000080888	174910001	174912001
2	1	ENSMUST00000121827	ENSMUSG00000080888	174910001	174912001
2	-1	ENSMUST00000120332	ENSMUSG00000081949	174927954	174929954
2	-1	ENSMUST00000109062	ENSMUSG00000090093	174952993	174954993
2	-1	ENSMUST00000108929	ENSMUSG00000090093	174953628	174955628
2	-1	ENSMUST00000109060	ENSMUSG00000090093	174953628	174955628
2	-1	ENSMUST00000109059	ENSMUSG00000090093	174955982	174957982
2	-1	ENSMUST00000099029	ENSMUSG00000090093	174956425	174958425
2	1	ENSMUST00000128606	ENSMUSG00000087588	174977498	174979498
2	-1	ENSMUST00000109054	ENSMUSG00000078902	174989755	174991755
2	-1	ENSMUST00000127251	ENSMUSG00000078902	174989755	174991755
2	-1	ENSMUST00000099028	ENSMUSG00000078903	175014565	175016565
2	-1	ENSMUST00000165892	ENSMUSG00000078903	175018414	175020414
2	-1	ENSMUST00000109058	ENSMUSG00000078903	175018414	175020414
2	-1	ENSMUST00000109056	ENSMUSG00000078903	175018414	175020414
2	-1	ENSMUST00000109055	ENSMUSG00000078903	175020442	175022442
2	-1	ENSMUST00000151240	ENSMUSG00000078903	175021174	175023174
2	-1	ENSMUST00000119690	ENSMUSG00000082376	175051676	175053676
2	1	ENSMUST00000170197	ENSMUSG00000084323	175094029	175096029
2	1	ENSMUST00000121572	ENSMUSG00000084323	175094056	175096056
2	1	ENSMUST00000098998	ENSMUSG00000078901	175106798	175108798
2	-1	ENSMUST00000139032	ENSMUSG00000085699	175127597	175129597
2	-1	ENSMUST00000121393	ENSMUSG00000078899	175145455	175147455
2	-1	ENSMUST00000109050	ENSMUSG00000078899	175148243	175150243
2	1	ENSMUST00000131676	ENSMUSG00000078898	175195936	175197936
2	1	ENSMUST00000109048	ENSMUSG00000078898	175195962	175197962
2	1	ENSMUST00000109047	ENSMUSG00000078898	175195992	175197992
2	-1	ENSMUST00000129110	ENSMUSG00000086672	175225164	175227164
2	-1	ENSMUST00000109046	ENSMUSG00000078897	175245800	175247800
2	-1	ENSMUST00000109045	ENSMUSG00000078897	175245800	175247800
2	-1	ENSMUST00000152941	ENSMUSG00000078897	175247393	175249393
2	-1	ENSMUST00000153210	ENSMUSG00000078897	175247897	175249897
2	1	ENSMUST00000143490	ENSMUSG00000078896	175293563	175295563
2	1	ENSMUST00000109043	ENSMUSG00000078896	175293563	175295563
2	1	ENSMUST00000109042	ENSMUSG00000078896	175293563	175295563
2	1	ENSMUST00000108961	ENSMUSG00000078895	175373244	175375244
2	-1	ENSMUST00000123131	ENSMUSG00000084858	175390170	175392170
2	-1	ENSMUST00000168462	ENSMUSG00000091984	175434222	175436222
2	-1	ENSMUST00000099009	ENSMUSG00000078894	175452410	175454410
2	-1	ENSMUST00000136719	ENSMUSG00000078894	175454017	175456017
2	-1	ENSMUST00000166464	ENSMUSG00000078894	175455129	175457129
2	-1	ENSMUST00000135430	ENSMUSG00000078894	175457023	175459023
2	-1	ENSMUST00000156439	ENSMUSG00000086367	175489166	175491166
2	1	ENSMUST00000109037	ENSMUSG00000078893	175542913	175544913
2	1	ENSMUST00000129524	ENSMUSG00000078893	175542913	175544913
2	1	ENSMUST00000144091	ENSMUSG00000085103	175574872	175576872
2	1	ENSMUST00000095808	ENSMUSG00000085103	175574891	175576891
2	-1	ENSMUST00000109032	ENSMUSG00000078891	175592032	175594032
2	-1	ENSMUST00000144085	ENSMUSG00000078891	175593571	175595571
2	-1	ENSMUST00000109033	ENSMUSG00000078891	175594886	175596886
2	1	ENSMUST00000130571	ENSMUSG00000078890	175641109	175643109
2	1	ENSMUST00000125857	ENSMUSG00000078890	175641109	175643109
2	1	ENSMUST00000124511	ENSMUSG00000084852	175671334	175673334
2	-1	ENSMUST00000109027	ENSMUSG00000090221	175689354	175691354
2	-1	ENSMUST00000109026	ENSMUSG00000090221	175690088	175692088
2	-1	ENSMUST00000131041	ENSMUSG00000090221	175692447	175694447
2	1	ENSMUST00000130388	ENSMUSG00000078888	175738668	175740668
2	1	ENSMUST00000132662	ENSMUSG00000078888	175738668	175740668
2	1	ENSMUST00000146046	ENSMUSG00000085366	175768984	175770984
2	-1	ENSMUST00000109020	ENSMUSG00000078889	175786488	175788488
2	-1	ENSMUST00000123863	ENSMUSG00000078889	175788374	175790374
2	-1	ENSMUST00000109023	ENSMUSG00000078889	175789599	175791599
2	-1	ENSMUST00000167570	ENSMUSG00000083481	175802077	175804077
2	-1	ENSMUST00000118709	ENSMUSG00000083481	175802114	175804114
2	1	ENSMUST00000145242	ENSMUSG00000086941	175842095	175844095
2	1	ENSMUST00000109011	ENSMUSG00000078887	175866350	175868350
2	1	ENSMUST00000147820	ENSMUSG00000078887	175866376	175868376
2	1	ENSMUST00000149549	ENSMUSG00000078887	175866417	175868417
2	1	ENSMUST00000123991	ENSMUSG00000078887	175870232	175872232
2	1	ENSMUST00000109012	ENSMUSG00000078887	175875360	175877360
2	1	ENSMUST00000143300	ENSMUSG00000085288	175898856	175900856
2	-1	ENSMUST00000108949	ENSMUSG00000089756	175916012	175918012
2	-1	ENSMUST00000109018	ENSMUSG00000089756	175916492	175918492
2	1	ENSMUST00000109007	ENSMUSG00000078886	175962462	175964462
2	1	ENSMUST00000174416	ENSMUSG00000078886	175962510	175964510
2	1	ENSMUST00000135610	ENSMUSG00000078886	175966073	175968073
2	1	ENSMUST00000109008	ENSMUSG00000078886	175973100	175975100
2	1	ENSMUST00000119838	ENSMUSG00000080856	176046082	176048082
2	-1	ENSMUST00000147031	ENSMUSG00000087665	176061043	176063043
2	-1	ENSMUST00000126696	ENSMUSG00000078885	176081704	176083704
2	-1	ENSMUST00000133402	ENSMUSG00000078885	176084164	176086164
2	1	ENSMUST00000109001	ENSMUSG00000078884	176129381	176131381
2	1	ENSMUST00000109002	ENSMUSG00000078884	176129459	176131459
2	-1	ENSMUST00000129037	ENSMUSG00000078883	176179276	176181276
2	-1	ENSMUST00000133235	ENSMUSG00000078883	176181735	176183735
2	-1	ENSMUST00000108997	ENSMUSG00000078882	176219038	176221038
2	-1	ENSMUST00000108996	ENSMUSG00000078882	176219772	176221772
2	-1	ENSMUST00000148569	ENSMUSG00000078882	176222131	176224131
2	1	ENSMUST00000120521	ENSMUSG00000078881	176264734	176266734
2	1	ENSMUST00000120959	ENSMUSG00000078881	176264744	176266744
2	1	ENSMUST00000122097	ENSMUSG00000078881	176268357	176270357
2	1	ENSMUST00000135189	ENSMUSG00000086489	176298677	176300677
2	-1	ENSMUST00000108995	ENSMUSG00000089951	176315756	176317756
2	-1	ENSMUST00000127687	ENSMUSG00000089951	176318431	176320431
2	-1	ENSMUST00000172025	ENSMUSG00000089951	176319292	176321292
2	-1	ENSMUST00000118930	ENSMUSG00000082290	176384914	176386914
2	-1	ENSMUST00000126807	ENSMUSG00000078880	176396072	176398072
2	-1	ENSMUST00000108990	ENSMUSG00000078880	176405550	176407550
2	-1	ENSMUST00000119149	ENSMUSG00000078880	176406902	176408902
2	-1	ENSMUST00000117267	ENSMUSG00000078880	176407556	176409556
2	1	ENSMUST00000121956	ENSMUSG00000078879	176453230	176455230
2	1	ENSMUST00000108985	ENSMUSG00000078879	176453270	176455270
2	1	ENSMUST00000141122	ENSMUSG00000078879	176453288	176455288
2	1	ENSMUST00000108981	ENSMUSG00000078878	176491036	176493036
2	1	ENSMUST00000108980	ENSMUSG00000078878	176491063	176493063
2	1	ENSMUST00000108983	ENSMUSG00000078878	176494641	176496641
2	1	ENSMUST00000120181	ENSMUSG00000081003	176524876	176526876
2	-1	ENSMUST00000117505	ENSMUSG00000081599	176537103	176539103
2	1	ENSMUST00000118012	ENSMUSG00000078877	176581316	176583316
2	1	ENSMUST00000132883	ENSMUSG00000078877	176584937	176586937
2	1	ENSMUST00000126726	ENSMUSG00000078876	176613844	176615844
2	1	ENSMUST00000122218	ENSMUSG00000078876	176613844	176615844
2	-1	ENSMUST00000117808	ENSMUSG00000083170	176634555	176636555
2	-1	ENSMUST00000168246	ENSMUSG00000091574	176678568	176680568
2	-1	ENSMUST00000099007	ENSMUSG00000074527	176696754	176698754
2	-1	ENSMUST00000125090	ENSMUSG00000074527	176698361	176700361
2	-1	ENSMUST00000108931	ENSMUSG00000074527	176699473	176701473
2	-1	ENSMUST00000135176	ENSMUSG00000074527	176700246	176702246
2	-1	ENSMUST00000120036	ENSMUSG00000081326	176733612	176735612
2	1	ENSMUST00000108975	ENSMUSG00000078875	176783660	176785660
2	1	ENSMUST00000156844	ENSMUSG00000078875	176783681	176785681
2	1	ENSMUST00000126358	ENSMUSG00000078875	176787257	176789257
2	1	ENSMUST00000122217	ENSMUSG00000083317	176815359	176817359
2	-1	ENSMUST00000121755	ENSMUSG00000083111	176836220	176838220
2	1	ENSMUST00000108970	ENSMUSG00000078872	176857024	176859024
2	1	ENSMUST00000134614	ENSMUSG00000078872	176862960	176864960
2	1	ENSMUST00000108969	ENSMUSG00000078872	176862963	176864963
2	1	ENSMUST00000108968	ENSMUSG00000078872	176862969	176864969
2	-1	ENSMUST00000121260	ENSMUSG00000082023	176868060	176870060
2	-1	ENSMUST00000118260	ENSMUSG00000082377	176886268	176888268
2	-1	ENSMUST00000121798	ENSMUSG00000082765	176908167	176910167
2	1	ENSMUST00000170565	ENSMUSG00000082724	176921364	176923364
2	1	ENSMUST00000118630	ENSMUSG00000082724	176921364	176923364
2	-1	ENSMUST00000122158	ENSMUSG00000081590	176949994	176951994
2	-1	ENSMUST00000156269	ENSMUSG00000078870	176966157	176968157
2	-1	ENSMUST00000133301	ENSMUSG00000078870	176976061	176978061
2	-1	ENSMUST00000108964	ENSMUSG00000078870	176977553	176979553
2	-1	ENSMUST00000117234	ENSMUSG00000083817	177008177	177010177
2	-1	ENSMUST00000108963	ENSMUSG00000078869	177047358	177049358
2	-1	ENSMUST00000108959	ENSMUSG00000078868	177097224	177099224
2	-1	ENSMUST00000128657	ENSMUSG00000078867	177169828	177171828
2	-1	ENSMUST00000149689	ENSMUSG00000078867	177170605	177172605
2	-1	ENSMUST00000108955	ENSMUSG00000078867	177170789	177172789
2	-1	ENSMUST00000119117	ENSMUSG00000082343	177202606	177204606
2	1	ENSMUST00000169081	ENSMUSG00000083619	177242909	177244909
2	1	ENSMUST00000120833	ENSMUSG00000083619	177242979	177244979
2	1	ENSMUST00000099002	ENSMUSG00000078866	177247437	177249437
2	1	ENSMUST00000109049	ENSMUSG00000078866	177247550	177249550
2	1	ENSMUST00000108952	ENSMUSG00000078866	177255990	177257990
2	1	ENSMUST00000142549	ENSMUSG00000067480	177280919	177282919
2	1	ENSMUST00000109000	ENSMUSG00000067480	177280930	177282930
2	1	ENSMUST00000108947	ENSMUSG00000067480	177281019	177283019
2	-1	ENSMUST00000132460	ENSMUSG00000085513	177324385	177326385
2	-1	ENSMUST00000108945	ENSMUSG00000078865	177351908	177353908
2	-1	ENSMUST00000108943	ENSMUSG00000078865	177353931	177355931
2	1	ENSMUST00000148388	ENSMUSG00000078864	177491992	177493992
2	1	ENSMUST00000108942	ENSMUSG00000078864	177495602	177497602
2	-1	ENSMUST00000108940	ENSMUSG00000078863	177564495	177566495
2	-1	ENSMUST00000108939	ENSMUSG00000078863	177564495	177566495
2	-1	ENSMUST00000150650	ENSMUSG00000078863	177566933	177568933
2	-1	ENSMUST00000121881	ENSMUSG00000081574	177584856	177586856
2	1	ENSMUST00000122418	ENSMUSG00000082901	177625342	177627342
2	1	ENSMUST00000108935	ENSMUSG00000074521	177629800	177631800
2	-1	ENSMUST00000108934	ENSMUSG00000074529	177636044	177638044
2	1	ENSMUST00000099001	ENSMUSG00000074521	177636989	177638989
2	-1	ENSMUST00000081529	ENSMUSG00000074529	177652631	177654631
2	-1	ENSMUST00000108986	ENSMUSG00000074529	177654135	177656135
2	-1	ENSMUST00000108932	ENSMUSG00000078862	177668697	177670697
2	-1	ENSMUST00000108930	ENSMUSG00000078862	177678241	177680241
2	-1	ENSMUST00000108928	ENSMUSG00000078862	177680382	177682382
2	-1	ENSMUST00000099000	ENSMUSG00000078862	177680870	177682870
2	-1	ENSMUST00000120408	ENSMUSG00000083702	177713238	177715238
2	1	ENSMUST00000108925	ENSMUSG00000074519	177755988	177757988
2	1	ENSMUST00000108926	ENSMUSG00000074519	177756083	177758083
2	-1	ENSMUST00000169999	ENSMUSG00000090944	177756512	177758512
2	-1	ENSMUST00000108924	ENSMUSG00000078861	177800399	177802399
2	-1	ENSMUST00000131702	ENSMUSG00000078861	177800596	177802596
2	-1	ENSMUST00000123265	ENSMUSG00000078861	177801180	177803180
2	-1	ENSMUST00000108923	ENSMUSG00000078861	177801194	177803194
2	1	ENSMUST00000141272	ENSMUSG00000027525	178060260	178062260
2	1	ENSMUST00000133267	ENSMUSG00000027525	178060496	178062496
2	-1	ENSMUST00000132611	ENSMUSG00000060445	178078823	178080823
2	-1	ENSMUST00000132765	ENSMUSG00000060445	178102094	178104094
2	-1	ENSMUST00000138175	ENSMUSG00000060445	178127969	178129969
2	-1	ENSMUST00000058678	ENSMUSG00000049999	178143910	178145910
2	1	ENSMUST00000094251	ENSMUSG00000070476	178147228	178149228
2	1	ENSMUST00000129003	ENSMUSG00000070476	178147286	178149286
2	1	ENSMUST00000108912	ENSMUSG00000039155	178163235	178165235
2	1	ENSMUST00000042092	ENSMUSG00000039155	178163311	178165311
2	-1	ENSMUST00000118225	ENSMUSG00000082215	178752823	178754823
2	1	ENSMUST00000118761	ENSMUSG00000061897	178910129	178912129
2	1	ENSMUST00000118528	ENSMUSG00000081481	178973194	178975194
2	1	ENSMUST00000119749	ENSMUSG00000081882	179096997	179098997
2	1	ENSMUST00000041998	ENSMUSG00000039138	179147640	179149640
2	-1	ENSMUST00000120800	ENSMUSG00000083410	179345326	179347326
2	1	ENSMUST00000136411	ENSMUSG00000000305	179509867	179511867
2	1	ENSMUST00000129659	ENSMUSG00000000305	179626588	179628588
2	1	ENSMUST00000098996	ENSMUSG00000074518	179626613	179628613
2	-1	ENSMUST00000155335	ENSMUSG00000039117	179653932	179655932
2	-1	ENSMUST00000154961	ENSMUSG00000039117	179654708	179656708
2	1	ENSMUST00000153188	ENSMUSG00000085704	179708697	179710697
2	1	ENSMUST00000150145	ENSMUSG00000085704	179709557	179711557
2	-1	ENSMUST00000116857	ENSMUSG00000080507	179723501	179725501
2	1	ENSMUST00000117586	ENSMUSG00000082850	179725892	179727892
2	1	ENSMUST00000164284	ENSMUSG00000039108	179757691	179759691
2	1	ENSMUST00000055485	ENSMUSG00000039108	179757691	179759691
2	1	ENSMUST00000058764	ENSMUSG00000039108	179759102	179761102
2	1	ENSMUST00000140257	ENSMUSG00000039108	179760613	179762613
2	1	ENSMUST00000094250	ENSMUSG00000039108	179760617	179762617
2	-1	ENSMUST00000129529	ENSMUSG00000027566	179769077	179771077
2	-1	ENSMUST00000126021	ENSMUSG00000027566	179769078	179771078
2	-1	ENSMUST00000029082	ENSMUSG00000027566	179769078	179771078
2	-1	ENSMUST00000135650	ENSMUSG00000027566	179769523	179771523
2	-1	ENSMUST00000142042	ENSMUSG00000027566	179770338	179772338
2	-1	ENSMUST00000132431	ENSMUSG00000027566	179770773	179772773
2	-1	ENSMUST00000155898	ENSMUSG00000027566	179772000	179774000
2	1	ENSMUST00000041126	ENSMUSG00000039086	179775213	179777213
2	1	ENSMUST00000147264	ENSMUSG00000039069	179803292	179805292
2	1	ENSMUST00000142608	ENSMUSG00000039069	179803296	179805296
2	1	ENSMUST00000140445	ENSMUSG00000039069	179803296	179805296
2	1	ENSMUST00000108901	ENSMUSG00000039069	179804497	179806497
2	1	ENSMUST00000136803	ENSMUSG00000039069	179811324	179813324
2	1	ENSMUST00000049596	ENSMUSG00000039069	179811327	179813327
2	1	ENSMUST00000087563	ENSMUSG00000039069	179811327	179813327
2	1	ENSMUST00000146182	ENSMUSG00000039069	179815693	179817693
2	-1	ENSMUST00000056480	ENSMUSG00000039059	179832169	179834169
2	-1	ENSMUST00000171152	ENSMUSG00000039059	179832175	179834175
2	-1	ENSMUST00000163215	ENSMUSG00000039059	179832355	179834355
2	-1	ENSMUST00000165248	ENSMUSG00000039059	179832582	179834582
2	-1	ENSMUST00000165762	ENSMUSG00000039059	179832582	179834582
2	1	ENSMUST00000172211	ENSMUSG00000090589	179832617	179834617
2	-1	ENSMUST00000166724	ENSMUSG00000039059	179832983	179834983
2	-1	ENSMUST00000164442	ENSMUSG00000039059	179833200	179835200
2	-1	ENSMUST00000171736	ENSMUSG00000039059	179833200	179835200
2	-1	ENSMUST00000166392	ENSMUSG00000039059	179833688	179835688
2	1	ENSMUST00000040668	ENSMUSG00000039050	179852010	179854010
2	1	ENSMUST00000140210	ENSMUSG00000039050	179852039	179854039
2	1	ENSMUST00000142376	ENSMUSG00000039050	179852108	179854108
2	1	ENSMUST00000124225	ENSMUSG00000039050	179882083	179884083
2	1	ENSMUST00000061437	ENSMUSG00000039041	179904189	179906189
2	1	ENSMUST00000155357	ENSMUSG00000039041	179904299	179906299
2	1	ENSMUST00000147341	ENSMUSG00000039041	179904310	179906310
2	1	ENSMUST00000128029	ENSMUSG00000039041	179904310	179906310
2	1	ENSMUST00000152540	ENSMUSG00000039041	179904318	179906318
2	1	ENSMUST00000145230	ENSMUSG00000039041	179904363	179906363
2	1	ENSMUST00000147383	ENSMUSG00000039041	179904858	179906858
2	1	ENSMUST00000152850	ENSMUSG00000039041	179908059	179910059
2	-1	ENSMUST00000130796	ENSMUSG00000015647	179909077	179911077
2	-1	ENSMUST00000015791	ENSMUSG00000015647	179909077	179911077
2	-1	ENSMUST00000087542	ENSMUSG00000015647	179909078	179911078
2	-1	ENSMUST00000149812	ENSMUSG00000015647	179909158	179911158
2	-1	ENSMUST00000123906	ENSMUSG00000015647	179909872	179911872
2	1	ENSMUST00000059080	ENSMUSG00000039001	179990081	179992081
2	1	ENSMUST00000148629	ENSMUSG00000039001	179990083	179992083
2	1	ENSMUST00000125301	ENSMUSG00000039001	179990122	179992122
2	1	ENSMUST00000145043	ENSMUSG00000039001	179990122	179992122
2	1	ENSMUST00000175086	ENSMUSG00000092827	179990240	179992240
2	-1	ENSMUST00000108891	ENSMUSG00000038990	179991244	179993244
2	-1	ENSMUST00000136706	ENSMUSG00000038990	179991247	179993247
2	-1	ENSMUST00000141067	ENSMUSG00000038990	179993105	179995105
2	-1	ENSMUST00000126688	ENSMUSG00000038990	179994836	179996836
2	-1	ENSMUST00000135301	ENSMUSG00000038990	179995559	179997559
2	-1	ENSMUST00000038529	ENSMUSG00000038980	180010350	180012350
2	-1	ENSMUST00000015771	ENSMUSG00000015627	180057837	180059837
2	-1	ENSMUST00000108890	ENSMUSG00000015627	180059422	180061422
2	1	ENSMUST00000069943	ENSMUSG00000056061	180065561	180067561
2	-1	ENSMUST00000145549	ENSMUSG00000084843	180103195	180105195
2	1	ENSMUST00000093635	ENSMUSG00000070144	180121752	180123752
2	1	ENSMUST00000083526	ENSMUSG00000065460	180131083	180133083
2	1	ENSMUST00000038259	ENSMUSG00000038963	180188949	180190949
2	1	ENSMUST00000139902	ENSMUSG00000038963	180189038	180191038
2	1	ENSMUST00000038225	ENSMUSG00000038963	180193683	180195683
2	1	ENSMUST00000138446	ENSMUSG00000038963	180199774	180201774
2	1	ENSMUST00000128367	ENSMUSG00000038963	180205133	180207133
2	1	ENSMUST00000029084	ENSMUSG00000027568	180232680	180234680
2	1	ENSMUST00000170448	ENSMUSG00000027568	180232931	180234931
2	1	ENSMUST00000169630	ENSMUSG00000027569	180314008	180316008
2	1	ENSMUST00000029085	ENSMUSG00000027569	180315416	180317416
2	1	ENSMUST00000150757	ENSMUSG00000027569	180315427	180317427
2	1	ENSMUST00000130277	ENSMUSG00000027569	180315430	180317430
2	1	ENSMUST00000123609	ENSMUSG00000027569	180315436	180317436
2	1	ENSMUST00000149969	ENSMUSG00000027569	180315462	180317462
2	1	ENSMUST00000029087	ENSMUSG00000049401	180321949	180323949
2	1	ENSMUST00000078560	ENSMUSG00000049401	180322146	180324146
2	1	ENSMUST00000147070	ENSMUSG00000049401	180322166	180324166
2	1	ENSMUST00000098985	ENSMUSG00000049401	180322167	180324167
2	1	ENSMUST00000141056	ENSMUSG00000027570	180331510	180333510
2	1	ENSMUST00000129090	ENSMUSG00000027570	180335889	180337889
2	-1	ENSMUST00000037877	ENSMUSG00000038932	180354660	180356660
2	-1	ENSMUST00000161903	ENSMUSG00000038932	180354666	180356666
2	-1	ENSMUST00000161425	ENSMUSG00000038932	180367958	180369958
2	-1	ENSMUST00000131881	ENSMUSG00000038932	180370170	180372170
2	-1	ENSMUST00000087517	ENSMUSG00000038914	180390668	180392668
2	-1	ENSMUST00000103057	ENSMUSG00000038914	180400992	180402992
2	-1	ENSMUST00000037764	ENSMUSG00000038914	180400994	180402994
2	-1	ENSMUST00000103056	ENSMUSG00000038914	180401917	180403917
2	-1	ENSMUST00000103055	ENSMUSG00000038914	180413762	180415762
2	-1	ENSMUST00000130986	ENSMUSG00000038914	180413777	180415777
2	-1	ENSMUST00000103054	ENSMUSG00000038914	180417728	180419728
2	1	ENSMUST00000082488	ENSMUSG00000064422	180430767	180432767
2	1	ENSMUST00000029090	ENSMUSG00000027573	180442821	180444821
2	1	ENSMUST00000150067	ENSMUSG00000027573	180444391	180446391
2	1	ENSMUST00000078687	ENSMUSG00000027573	180445250	180447250
2	1	ENSMUST00000094218	ENSMUSG00000023393	180457967	180459967
2	1	ENSMUST00000151882	ENSMUSG00000023393	180458083	180460083
2	1	ENSMUST00000139817	ENSMUSG00000023393	180458104	180460104
2	1	ENSMUST00000154882	ENSMUSG00000023393	180469122	180471122
2	1	ENSMUST00000140955	ENSMUSG00000023393	180470978	180472978
2	-1	ENSMUST00000154524	ENSMUSG00000087550	180498918	180500918
2	-1	ENSMUST00000108878	ENSMUSG00000045493	180507085	180509085
2	-1	ENSMUST00000061098	ENSMUSG00000045493	180508673	180510673
2	-1	ENSMUST00000148700	ENSMUSG00000074507	180551047	180553047
